T1_TM,T2_TM,Reflection_loss,SR,Radius_nm,OP_port_width_um,Mode_source_TM0
0.487103,0.455952,0.056945,1.068320788,35,1,0
0.547032,0.376866,0.076102,1.451529191,35,1,0
0.431401,0.471193,0.097406,0.915550528,35,1,0
0.469333,0.456318,0.074349,1.028521776,35,1,0
0.451448,0.497161,0.051391,0.908051919,35,1,0
0.519119,0.412186,0.068695,1.259428996,35,1,0
0.405628,0.503486,0.090886,0.805639084,35,1,0
0.476833,0.45884,0.064327,1.039214105,35,1,0
0.532829,0.393649,0.073522,1.353563708,35,1,0
0.548357,0.347994,0.103649,1.575765674,35,1,0
0.507956,0.401693,0.090351,1.264537844,35,1,0
0.537152,0.394255,0.068593,1.362448162,35,1,0
0.511215,0.417719,0.071066,1.223825107,35,1,0
0.469338,0.462608,0.068054,1.014547954,35,1,0
0.443543,0.483847,0.07261,0.916700941,35,1,0
0.512423,0.393826,0.093751,1.301140605,35,1,0
0.446155,0.469466,0.084379,0.950345712,35,1,0
0.457428,0.463677,0.078895,0.986522946,35,1,0
0.41057,0.491044,0.098386,0.836116519,35,1,0
0.498689,0.407225,0.094086,1.224603106,35,1,0
0.450069,0.462344,0.087587,0.973450504,35,1,0
0.50557,0.423393,0.071037,1.194091541,35,1,0
0.531942,0.381317,0.086741,1.395012549,35,1,0
0.462382,0.444487,0.093131,1.040259895,35,1,0
0.517924,0.421013,0.061063,1.230185291,35,1,0
0.510329,0.416864,0.072807,1.224209814,35,1,0
0.484239,0.451578,0.064183,1.072326376,35,1,0
0.440465,0.47693,0.082605,0.923542239,35,1,0
0.506943,0.407559,0.085498,1.24385181,35,1,0
0.455601,0.489168,0.055231,0.931379403,35,1,0
0.496163,0.416742,0.087095,1.190575944,35,1,0
0.488195,0.447682,0.064123,1.090495039,35,1,0
0.401723,0.514036,0.084241,0.781507521,35,1,0
0.461448,0.477997,0.060555,0.965378444,35,1,0
0.466012,0.423963,0.110025,1.099180825,35,1,0
0.475913,0.452971,0.071116,1.050647834,35,1,0
0.467716,0.454922,0.077362,1.028123502,35,1,0
0.467264,0.45774,0.074996,1.020806571,35,1,0
0.458119,0.468163,0.073718,0.978545934,35,1,0
0.445404,0.486,0.068596,0.916469136,35,1,0
0.50492,0.440596,0.054484,1.145993155,35,1,0
0.485369,0.419637,0.094994,1.156640144,35,1,0
0.468317,0.451898,0.079785,1.03633342,35,1,0
0.452288,0.498239,0.049473,0.907773177,35,1,0
0.494327,0.415158,0.090515,1.190696072,35,1,0
0.432939,0.483705,0.083356,0.895047601,35,1,0
0.456807,0.445765,0.097428,1.024770899,35,1,0
0.469762,0.45417,0.076068,1.034330757,35,1,0
0.434342,0.477512,0.088146,0.909593895,35,1,0
0.468031,0.484717,0.047252,0.96557579,35,1,0
0.460661,0.447941,0.091398,1.028396597,35,1,0
0.527134,0.395412,0.077454,1.333125955,35,1,0
0.444587,0.47651,0.078903,0.933006653,35,1,0
0.536558,0.391145,0.072297,1.37176239,35,1,0
0.535705,0.406925,0.05737,1.316471094,35,1,0
0.434765,0.500888,0.064347,0.867988453,35,1,0
0.501641,0.447013,0.051346,1.122206737,35,1,0
0.45759,0.490145,0.052265,0.933580879,35,1,0
0.441623,0.470763,0.087614,0.938100488,35,1,0
0.495302,0.441997,0.062701,1.120600366,35,1,0
0.46024,0.461261,0.078499,0.997786503,35,1,0
0.407432,0.518593,0.073975,0.785648861,35,1,0
0.53903,0.401978,0.058992,1.340944032,35,1,0
0.521999,0.421558,0.056443,1.238261402,35,1,0
0.408566,0.499612,0.091822,0.817766587,35,1,0
0.497152,0.428577,0.074271,1.160006253,35,1,0
0.48044,0.441122,0.078438,1.089131805,35,1,0
0.44337,0.476639,0.079991,0.930200844,35,1,0
0.46422,0.434234,0.101546,1.069054934,35,1,0
0.465736,0.47764,0.056624,0.975077464,35,1,0
0.455627,0.473498,0.070875,0.962257496,35,1,0
0.501644,0.407339,0.091017,1.231514783,35,1,0
0.430722,0.507166,0.062112,0.84927223,35,1,0
0.453288,0.478561,0.068151,0.947189596,35,1,0
0.455369,0.447131,0.0975,1.018424131,35,1,0
0.52804,0.411509,0.060451,1.283179712,35,1,0
0.473034,0.457702,0.069264,1.033497778,35,1,0
0.490786,0.41441,0.094804,1.184300572,35,1,0
0.523048,0.40261,0.074342,1.299143091,35,1,0
0.536964,0.36975,0.093286,1.452235294,35,1,0
0.413502,0.501107,0.085391,0.825177058,35,1,0
0.473054,0.454593,0.072353,1.040609952,35,1,0
0.481274,0.453707,0.065019,1.060759477,35,1,0
0.468993,0.449586,0.081421,1.04316638,35,1,0
0.527525,0.413996,0.058479,1.274227287,35,1,0
0.520173,0.412249,0.067578,1.261793237,35,1,0
0.548877,0.367537,0.083586,1.493392502,35,1,0
0.502429,0.428419,0.069152,1.172751442,35,1,0
0.469477,0.466932,0.063591,1.005450472,35,1,0
0.48971,0.446758,0.063532,1.096141535,35,1,0
0.474488,0.445573,0.079939,1.064893968,35,1,0
0.449895,0.451327,0.098778,0.996827134,35,1,0
0.485098,0.396021,0.118881,1.224929991,35,1,0
0.463078,0.440703,0.096219,1.050771154,35,1,0
0.509129,0.396738,0.094133,1.283287711,35,1,0
0.455345,0.462412,0.082243,0.984717092,35,1,0
0.480211,0.413809,0.10598,1.160465335,35,1,0
0.483793,0.437439,0.078768,1.105966775,35,1,0
0.535624,0.401118,0.063258,1.335327759,35,1,0
0.538087,0.413464,0.048449,1.301411973,35,1,0
0.469034,0.457046,0.07392,1.026229307,35,1,0
0.493648,0.441902,0.06445,1.117098361,35,1,0
0.448326,0.491613,0.060061,0.911949033,35,1,0
0.449865,0.457159,0.092976,0.984044938,35,1,0
0.456153,0.460903,0.082944,0.989694144,35,1,0
0.563,0.371911,0.065089,1.513803034,35,1,0
0.507882,0.397394,0.094724,1.278031374,35,1,0
0.540277,0.373531,0.086192,1.446404716,35,1,0
0.513924,0.420345,0.065731,1.222624273,35,1,0
0.495924,0.432132,0.071944,1.14762156,35,1,0
0.511673,0.393483,0.094844,1.300368758,35,1,0
0.447918,0.455471,0.096611,0.983417166,35,1,0
0.467212,0.457965,0.074823,1.020191499,35,1,0
0.466819,0.449855,0.083326,1.037709929,35,1,0
0.433238,0.494678,0.072084,0.875797994,35,1,0
0.485387,0.454549,0.060064,1.067843071,35,1,0
0.455819,0.472208,0.071973,0.965292837,35,1,0
0.473645,0.439243,0.087112,1.078321112,35,1,0
0.425568,0.491902,0.08253,0.865147936,35,1,0
0.441067,0.468363,0.09057,0.941720418,35,1,0
0.492639,0.435273,0.072088,1.131793151,35,1,0
0.497018,0.407452,0.09553,1.219819758,35,1,0
0.489433,0.436227,0.07434,1.121968608,35,1,0
0.447633,0.481138,0.071229,0.930363014,35,1,0
0.465963,0.458355,0.075682,1.016598488,35,1,0
0.459867,0.4492,0.090933,1.023746661,35,1,0
0.460068,0.429388,0.110544,1.07145053,35,1,0
0.477374,0.437896,0.08473,1.090153826,35,1,0
0.423996,0.487328,0.088676,0.870042353,35,1,0
0.505138,0.431348,0.063514,1.171068372,35,1,0
0.469496,0.46659,0.063914,1.006228166,35,1,0
0.476463,0.441707,0.08183,1.078685645,35,1,0
0.50894,0.415082,0.075978,1.226119176,35,1,0
0.458233,0.469201,0.072566,0.976624091,35,1,0
0.45103,0.480825,0.068145,0.938033588,35,1,0
0.458981,0.470651,0.070368,0.975204557,35,1,0
0.453445,0.478107,0.068448,0.948417405,35,1,0
0.496057,0.426087,0.077856,1.164215289,35,1,0
0.430908,0.503803,0.065289,0.855310508,35,1,0
0.523734,0.397099,0.079167,1.318900325,35,1,0
0.458137,0.443958,0.097905,1.031937706,35,1,0
0.53569,0.387691,0.076619,1.38174474,35,1,0
0.475977,0.464262,0.059761,1.025233597,35,1,0
0.551295,0.358953,0.089752,1.53584174,35,1,0
0.467834,0.448162,0.084004,1.043894842,35,1,0
0.42653,0.467469,0.106001,0.912424139,35,1,0
0.487092,0.444914,0.067994,1.094800343,35,1,0
0.505916,0.438983,0.055101,1.152472875,35,1,0
0.446578,0.502587,0.050835,0.888558598,35,1,0
0.509407,0.39003,0.100563,1.306071328,35,1,0
0.492382,0.457743,0.049875,1.075673467,35,1,0
0.462669,0.449789,0.087542,1.028635649,35,1,0
0.458622,0.462057,0.079321,0.992565852,35,1,0
0.467815,0.477678,0.054507,0.9793522,35,1,0
0.487436,0.414298,0.098266,1.176534765,35,1,0
0.478711,0.446154,0.075135,1.072972561,35,1,0
0.375469,0.558262,0.066269,0.672567719,35,1,0
0.415135,0.508947,0.075918,0.815674324,35,1,0
0.443909,0.48259,0.073501,0.919847075,35,1,0
0.452021,0.486113,0.061866,0.929868158,35,1,0
0.500992,0.431931,0.067077,1.159888964,35,1,0
0.505802,0.422128,0.07207,1.198219497,35,1,0
0.443027,0.497498,0.059475,0.890510113,35,1,0
0.482071,0.433166,0.084763,1.11290129,35,1,0
0.498191,0.436433,0.065376,1.141506256,35,1,0
0.469359,0.467173,0.063468,1.004679209,35,1,0
0.463322,0.487083,0.049595,0.95121776,35,1,0
0.504899,0.386236,0.108865,1.307229259,35,1,0
0.499849,0.437943,0.062208,1.141356295,35,1,0
0.498344,0.432296,0.06936,1.152784203,35,1,0
0.466661,0.462831,0.070508,1.008275159,35,1,0
0.490308,0.426946,0.082746,1.148407527,35,1,0
0.434525,0.508839,0.056636,0.853953805,35,1,0
0.485737,0.432296,0.081967,1.123621315,35,1,0
0.456831,0.450836,0.092333,1.013297518,35,1,0
0.500279,0.437732,0.061989,1.1428888,35,1,0
0.456971,0.470096,0.072933,0.972080171,35,1,0
0.501646,0.406344,0.09201,1.234535271,35,1,0
0.444933,0.482978,0.072089,0.921228296,35,1,0
0.499253,0.406055,0.094692,1.229520631,35,1,0
0.444797,0.477798,0.077405,0.930931063,35,1,0
0.47414,0.462887,0.062973,1.024310469,35,1,0
0.464874,0.459509,0.075617,1.011675506,35,1,0
0.48935,0.428436,0.082214,1.142177595,35,1,0
0.422151,0.513875,0.063974,0.82150523,35,1,0
0.479981,0.433842,0.086177,1.106349777,35,1,0
0.530969,0.425619,0.043412,1.247521845,35,1,0
0.493368,0.42581,0.080822,1.158657617,35,1,0
0.49101,0.431345,0.077645,1.138323152,35,1,0
0.482322,0.408289,0.109389,1.181324993,35,1,0
0.409993,0.522149,0.067858,0.785203074,35,1,0
0.427511,0.486596,0.085893,0.878574834,35,1,0
0.491951,0.421131,0.086918,1.1681662,35,1,0
0.478429,0.438583,0.082988,1.090851675,35,1,0
0.420361,0.477372,0.102267,0.880573222,35,1,0
0.434964,0.483042,0.081994,0.900468282,35,1,0
0.401184,0.520663,0.078153,0.770525273,35,1,0
0.477883,0.416817,0.1053,1.146505541,35,1,0
0.44566,0.463687,0.090653,0.961122481,35,1,0
0.482926,0.438397,0.078677,1.101572319,35,1,0
0.463866,0.46719,0.068944,0.992885122,35,1,0
0.475679,0.460947,0.063374,1.03196029,35,1,0
0.534562,0.388483,0.076955,1.376024176,35,1,0
0.438618,0.494888,0.066494,0.886297506,35,1,0
0.465077,0.462051,0.072872,1.006549061,35,1,0
0.448393,0.455806,0.095801,0.983736502,35,1,0
0.47002,0.435881,0.094099,1.078321836,35,1,0
0.448312,0.476,0.075688,0.941831933,35,1,0
0.495569,0.413642,0.090789,1.198062576,35,1,0
0.490118,0.436144,0.073738,1.123752706,35,1,0
0.496933,0.441077,0.06199,1.126635485,35,1,0
0.435641,0.475903,0.088456,0.915398726,35,1,0
0.469515,0.417752,0.112733,1.123908443,35,1,0
0.475748,0.433591,0.090661,1.097227572,35,1,0
0.432333,0.488891,0.078776,0.884313681,35,1,0
0.434513,0.496038,0.069449,0.875967164,35,1,0
0.434448,0.47615,0.089402,0.912418356,35,1,0
0.525407,0.38993,0.084663,1.347439284,35,1,0
0.46039,0.488082,0.051528,0.943263632,35,1,0
0.402065,0.526377,0.071558,0.763834666,35,1,0
0.50382,0.400457,0.095723,1.258112606,35,1,0
0.450605,0.493962,0.055433,0.912226042,35,1,0
0.514746,0.419123,0.066131,1.228150209,35,1,0
0.448105,0.459555,0.09234,0.975084593,35,1,0
0.402616,0.483349,0.114035,0.832971621,35,1,0
0.562034,0.36102,0.076946,1.556794637,35,1,0
0.496595,0.440237,0.063168,1.128017409,35,1,0
0.49798,0.429813,0.072207,1.158596878,35,1,0
0.475775,0.434043,0.090182,1.096147156,35,1,0
0.446144,0.480188,0.073668,0.929102768,35,1,0
0.466137,0.466262,0.067601,0.99973191,35,1,0
0.497001,0.429108,0.073891,1.15821891,35,1,0
0.418174,0.494376,0.08745,0.845862259,35,1,0
0.482617,0.448806,0.068577,1.075335446,35,1,0
0.468534,0.424493,0.106973,1.10374965,35,1,0
0.418055,0.52685,0.055095,0.793499098,35,1,0
0.477247,0.438461,0.084292,1.088459407,35,1,0
0.489381,0.409687,0.100932,1.194524112,35,1,0
0.503839,0.443183,0.052978,1.136864456,35,1,0
0.47175,0.454422,0.073828,1.038131957,35,1,0
0.466163,0.440702,0.093135,1.057773734,35,1,0
0.496351,0.428653,0.074996,1.15793194,35,1,0
0.475279,0.452096,0.072625,1.051278932,35,1,0
0.481028,0.414011,0.104961,1.161872511,35,1,0
0.432633,0.497936,0.069431,0.868852624,35,1,0
0.435453,0.499772,0.064775,0.871303314,35,1,0
0.50527,0.435112,0.059618,1.161241244,35,1,0
0.52404,0.388321,0.087639,1.349502087,35,1,0
0.464868,0.450041,0.085091,1.032945887,35,1,0
0.504971,0.436236,0.058793,1.157563796,35,1,0
0.461446,0.47494,0.063614,0.97158799,35,1,0
0.485855,0.446133,0.068012,1.089036229,35,1,0
0.407573,0.524987,0.06744,0.776348748,35,1,0
0.485146,0.442414,0.07244,1.096588263,35,1,0
0.440463,0.487072,0.072465,0.904307782,35,1,0
0.543703,0.385568,0.070729,1.410135177,35,1,0
0.513761,0.425695,0.060544,1.206875815,35,1,0
0.466075,0.454477,0.079448,1.025519443,35,1,0
0.52103,0.410512,0.068458,1.269219901,35,1,0
0.474111,0.481554,0.044335,0.98454379,35,1,0
0.468009,0.447862,0.084129,1.044984839,35,1,0
0.526859,0.409345,0.063796,1.287078137,35,1,0
0.502613,0.390911,0.106476,1.285747907,35,1,0
0.512417,0.418405,0.069178,1.224691388,35,1,0
0.498291,0.43895,0.062759,1.135188518,35,1,0
0.524239,0.390883,0.084878,1.341166027,35,1,0
0.5101,0.409631,0.080269,1.245267082,35,1,0
0.463453,0.429283,0.107264,1.079597841,35,1,0
0.512885,0.400762,0.086353,1.27977453,35,1,0
0.501965,0.416509,0.081526,1.205172037,35,1,0
0.476605,0.436242,0.087153,1.092524333,35,1,0
0.480108,0.448822,0.07107,1.069706922,35,1,0
0.470072,0.467821,0.062107,1.004811669,35,1,0
0.486687,0.416369,0.096944,1.168883851,35,1,0
0.432452,0.492563,0.074985,0.877962819,35,1,0
0.51905,0.419607,0.061343,1.236990803,35,1,0
0.480019,0.449357,0.070624,1.068235278,35,1,0
0.541347,0.377798,0.080855,1.432900651,35,1,0
0.541475,0.403715,0.05481,1.341230819,35,1,0
0.445862,0.494394,0.059744,0.901835378,35,1,0
0.424273,0.496093,0.079634,0.855228758,35,1,0
0.484969,0.446907,0.068124,1.085167608,35,1,0
0.489113,0.439804,0.071083,1.112115852,35,1,0
0.495793,0.420903,0.083304,1.177926981,35,1,0
0.469144,0.454061,0.076795,1.033218004,35,1,0
0.440127,0.482742,0.077131,0.911723032,35,1,0
0.488967,0.433776,0.077257,1.127233872,35,1,0
0.416676,0.464638,0.118686,0.896775554,35,1,0
0.509291,0.418056,0.072653,1.218236313,35,1,0
0.472495,0.466737,0.060768,1.012336712,35,1,0
0.511461,0.406486,0.082053,1.258249977,35,1,0
0.441144,0.478034,0.080822,0.922829757,35,1,0
0.517316,0.412456,0.070228,1.254233179,35,1,0
0.436787,0.508876,0.054337,0.858336805,35,1,0
0.517629,0.414999,0.067372,1.247301801,35,1,0
0.552559,0.36283,0.084611,1.522914312,35,1,0
0.48874,0.421344,0.089916,1.159954811,35,1,0
0.46392,0.480734,0.055346,0.965024317,35,1,0
0.406122,0.518587,0.075291,0.783131856,35,1,0
0.484575,0.426759,0.088666,1.135476932,35,1,0
0.488609,0.428098,0.083293,1.141348476,35,1,0
0.483284,0.461894,0.054822,1.046309326,35,1,0
0.432663,0.478086,0.089251,0.904989897,35,1,0
0.512882,0.392568,0.09455,1.306479387,35,1,0
0.470388,0.454871,0.074741,1.034112968,35,1,0
0.482133,0.444759,0.073108,1.084032026,35,1,0
0.50972,0.431169,0.059111,1.182181465,35,1,0
0.53055,0.380356,0.089094,1.394877431,35,1,0
0.479619,0.445145,0.075236,1.077444428,35,1,0
0.526462,0.417007,0.056531,1.262477608,35,1,0
0.472297,0.432682,0.095021,1.091556848,35,1,0
0.521093,0.39904,0.079867,1.30586658,35,1,0
0.493401,0.421274,0.085325,1.17121161,35,1,0
0.469236,0.451338,0.079426,1.039655425,35,1,0
0.48261,0.427511,0.089879,1.128883233,35,1,0
0.448876,0.467938,0.083186,0.959263834,35,1,0
0.511387,0.425196,0.063417,1.202708868,35,1,0
0.465866,0.440561,0.093573,1.05743813,35,1,0
0.415544,0.514855,0.069601,0.807108798,35,1,0
0.448661,0.446106,0.105233,1.005727338,35,1,0
0.501708,0.433564,0.064728,1.157171721,35,1,0
0.438356,0.463619,0.098025,0.945509136,35,1,0
0.516318,0.405909,0.077773,1.272004316,35,1,0
0.487474,0.4406,0.071926,1.106386745,35,1,0
0.474357,0.441952,0.083691,1.073322442,35,1,0
0.43197,0.500864,0.067166,0.862449687,35,1,0
0.476757,0.435702,0.087541,1.094227247,35,1,0
0.4901,0.4191,0.0908,1.169410642,35,1,0
0.443427,0.473927,0.082646,0.935644097,35,1,0
0.491192,0.444573,0.064235,1.104862419,35,1,0
0.470805,0.485568,0.043627,0.969596431,35,1,0
0.43149,0.477454,0.091056,0.90373104,35,1,0
0.422699,0.49738,0.079921,0.84985122,35,1,0
0.41961,0.471825,0.108565,0.889333969,35,1,0
0.44057,0.466176,0.093254,0.945072247,35,1,0
0.468955,0.46111,0.069935,1.017013294,35,1,0
0.518813,0.406441,0.074746,1.276478013,35,1,0
0.498286,0.421419,0.080295,1.182400414,35,1,0
0.409112,0.514551,0.076337,0.795085424,35,1,0
0.547709,0.38722,0.065071,1.414464645,35,1,0
0.396728,0.517062,0.08621,0.767273557,35,1,0
0.482546,0.442164,0.07529,1.091328105,35,1,0
0.470054,0.466143,0.063803,1.008390129,35,1,0
0.497064,0.42738,0.075556,1.163049277,35,1,0
0.49295,0.440913,0.066137,1.118021015,35,1,0
0.508108,0.42802,0.063872,1.187112752,35,1,0
0.497745,0.420854,0.081401,1.182702315,35,1,0
0.493096,0.442228,0.064676,1.115026638,35,1,0
0.478162,0.427896,0.093942,1.11747247,35,1,0
0.424093,0.522091,0.053816,0.81229709,35,1,0
0.510898,0.413125,0.075977,1.236666868,35,1,0
0.406705,0.502446,0.090849,0.80945017,35,1,0
