T1_TM,T2_TM,Reflection_Loss,SR,Radius_nm,OP_port_width_um,Mode_source_TM0
0.39931,0.436728,0.163962,0.9143219578,35,1,0
0.442925,0.430678,0.126397,1.028436558,35,1,0
0.510726,0.28816,0.201114,1.772369517,35,1,0
0.357333,0.432581,0.210086,0.8260487631,35,1,0
0.424704,0.407379,0.167917,1.042527965,35,1,0
0.39221,0.500535,0.107255,0.7835815677,35,1,0
0.50214,0.350806,0.147054,1.431389429,35,1,0
0.315637,0.466019,0.218344,0.6773050026,35,1,0
0.436779,0.417446,0.145775,1.046312577,35,1,0
0.515092,0.324792,0.160116,1.585913446,35,1,0
0.502048,0.253068,0.244884,1.983846239,35,1,0
0.473838,0.324442,0.20172,1.460470593,35,1,0
0.508519,0.331236,0.160245,1.535216583,35,1,0
0.500207,0.347092,0.152701,1.441136644,35,1,0
0.43363,0.420807,0.145563,1.030472402,35,1,0
0.379448,0.436795,0.183757,0.8687095777,35,1,0
0.467641,0.319575,0.212784,1.463321599,35,1,0
0.402884,0.419408,0.177708,0.9606016099,35,1,0
0.40817,0.411698,0.180132,0.9914306118,35,1,0
0.330656,0.458778,0.210566,0.7207320316,35,1,0
0.470388,0.325789,0.203823,1.443842487,35,1,0
0.357124,0.439948,0.202928,0.8117413876,35,1,0
0.491589,0.374933,0.133478,1.311138257,35,1,0
0.510686,0.27005,0.219264,1.89107943,35,1,0
0.41057,0.399335,0.190095,1.028134273,35,1,0
0.494483,0.362952,0.142565,1.362392272,35,1,0
0.475323,0.354235,0.170442,1.341829576,35,1,0
0.452512,0.406212,0.141276,1.113979892,35,1,0
0.398233,0.417004,0.184763,0.9549860433,35,1,0
0.471543,0.334987,0.19347,1.40764567,35,1,0
0.404192,0.455417,0.140391,0.8875206679,35,1,0
0.464929,0.359581,0.17549,1.292974323,35,1,0
0.42981,0.410694,0.159496,1.046545603,35,1,0
0.310268,0.501427,0.188305,0.6187700303,35,1,0
0.411106,0.446848,0.142046,0.9200130693,35,1,0
0.400991,0.363024,0.235985,1.104585372,35,1,0
0.442182,0.399073,0.158745,1.108022843,35,1,0
0.425468,0.402684,0.171848,1.056580346,35,1,0
0.423333,0.414645,0.162022,1.020952863,35,1,0
0.400842,0.406416,0.192742,0.9862849888,35,1,0
0.392486,0.448971,0.158543,0.8741900925,35,1,0
0.463715,0.400257,0.136028,1.158543136,35,1,0
0.438153,0.347899,0.213948,1.259425868,35,1,0
0.453866,0.390178,0.155956,1.163228065,35,1,0
0.395745,0.490178,0.114077,0.8073495751,35,1,0
0.487437,0.324073,0.18849,1.504096299,35,1,0
0.345239,0.438719,0.216042,0.7869251161,35,1,0
0.401703,0.387719,0.210578,1.036067358,35,1,0
0.417427,0.42267,0.159903,0.9875955237,35,1,0
0.37102,0.457602,0.171378,0.8107919109,35,1,0
0.427592,0.474177,0.098231,0.9017560953,35,1,0
0.421632,0.378339,0.200029,1.114429123,35,1,0
0.512807,0.329254,0.157939,1.557481458,35,1,0
0.395295,0.451961,0.152744,0.8746219253,35,1,0
0.527889,0.301507,0.170604,1.750834972,35,1,0
0.533722,0.342432,0.123846,1.558621858,35,1,0
0.364536,0.471931,0.163533,0.7724349534,35,1,0
0.495659,0.403753,0.100588,1.227629268,35,1,0
0.405008,0.477514,0.117478,0.8481594257,35,1,0
0.379297,0.425539,0.195164,0.8913331093,35,1,0
0.477649,0.385442,0.136909,1.23922406,35,1,0
0.402948,0.398653,0.198399,1.010773781,35,1,0
0.328509,0.471694,0.199797,0.696445153,35,1,0
0.520636,0.323849,0.155515,1.607650479,35,1,0
0.507213,0.365126,0.127661,1.389145117,35,1,0
0.319187,0.471705,0.209108,0.6766665607,35,1,0
0.460127,0.377127,0.162746,1.220085011,35,1,0
0.425031,0.400872,0.174097,1.06026612,35,1,0
0.37473,0.429217,0.196053,0.8730548883,35,1,0
0.427481,0.35573,0.216789,1.201700728,35,1,0
0.410667,0.464829,0.124504,0.8834797313,35,1,0
0.40517,0.407467,0.187363,0.9943627337,35,1,0
0.473288,0.321289,0.205423,1.473091204,35,1,0
0.378653,0.487477,0.13387,0.7767607497,35,1,0
0.396244,0.457741,0.146015,0.8656510996,35,1,0
0.404637,0.404645,0.190718,0.9999802296,35,1,0
0.514193,0.369483,0.116324,1.391655367,35,1,0
0.430123,0.405601,0.164276,1.060458431,35,1,0
0.466577,0.360626,0.172797,1.293797452,35,1,0
0.497029,0.326539,0.176432,1.522112213,35,1,0
0.53597,0.27154,0.19249,1.973816012,35,1,0
0.33441,0.465241,0.200349,0.7187887568,35,1,0
0.434411,0.411981,0.153608,1.054444258,35,1,0
0.437932,0.417815,0.144253,1.048148104,35,1,0
0.448064,0.396573,0.155363,1.129839903,35,1,0
0.530734,0.345285,0.123981,1.537089651,35,1,0
0.496109,0.355567,0.148324,1.395261653,35,1,0
0.537139,0.270842,0.192019,1.983218999,35,1,0
0.47052,0.373497,0.155983,1.259769155,35,1,0
0.428398,0.422958,0.148644,1.012861797,35,1,0
0.474481,0.389137,0.136382,1.219316076,35,1,0
0.411407,0.397366,0.191227,1.035335182,35,1,0
0.39813,0.367567,0.234303,1.083149467,35,1,0
0.432626,0.319859,0.247515,1.352552218,35,1,0
0.387127,0.364349,0.248524,1.062516982,35,1,0
0.472608,0.335537,0.191855,1.408512325,35,1,0
0.419914,0.416442,0.163644,1.008337295,35,1,0
0.431232,0.32726,0.241508,1.317704577,35,1,0
0.439948,0.398899,0.161153,1.102905748,35,1,0
0.510615,0.333895,0.15549,1.529268183,35,1,0
0.555497,0.350294,0.094209,1.585802212,35,1,0
0.433341,0.394093,0.172566,1.099590706,35,1,0
0.452219,0.411426,0.136355,1.099150272,35,1,0
0.4104,0.470796,0.118804,0.8717151378,35,1,0
0.38279,0.384536,0.232674,0.9954594628,35,1,0
0.387265,0.414123,0.198612,0.9351448724,35,1,0
0.581213,0.293908,0.124879,1.977533786,35,1,0
0.459529,0.31488,0.225591,1.459378176,35,1,0
0.52032,0.295913,0.183767,1.758354652,35,1,0
0.48591,0.370089,0.144001,1.312954451,35,1,0
0.450197,0.403937,0.145866,1.114522809,35,1,0
0.474785,0.314092,0.211123,1.511611248,35,1,0
0.379393,0.388546,0.232061,0.9764429437,35,1,0
0.442257,0.405237,0.152506,1.091353948,35,1,0
0.390976,0.430058,0.178966,0.9091238856,35,1,0
0.356629,0.454634,0.188737,0.7844309928,35,1,0
0.427618,0.41475,0.157632,1.031025919,35,1,0
0.433157,0.43371,0.133133,0.9987249545,35,1,0
0.43114,0.373973,0.194887,1.152863977,35,1,0
0.351372,0.459447,0.189181,0.7647715623,35,1,0
0.381204,0.424042,0.194754,0.8989769881,35,1,0
0.464936,0.376497,0.158567,1.234899614,35,1,0
0.458227,0.342513,0.19926,1.337838272,35,1,0
0.454378,0.380249,0.165373,1.194948573,35,1,0
0.39645,0.458288,0.145262,0.8650673812,35,1,0
0.405365,0.406142,0.188493,0.998086876,35,1,0
0.378396,0.40092,0.220684,0.9438192158,35,1,0
0.418184,0.367028,0.214788,1.139379012,35,1,0
0.42179,0.391883,0.186327,1.076316145,35,1,0
0.351692,0.465568,0.18274,0.7554041515,35,1,0
0.489381,0.375898,0.134721,1.301898387,35,1,0
0.424197,0.415853,0.15995,1.020064783,35,1,0
0.431143,0.382734,0.186123,1.1264821,35,1,0
0.499693,0.34201,0.158297,1.461047923,35,1,0
0.415462,0.433526,0.151012,0.9583323722,35,1,0
0.411648,0.447666,0.140686,0.9195426948,35,1,0
0.406656,0.435678,0.157666,0.9333865837,35,1,0
0.407362,0.424401,0.168237,0.9598516497,35,1,0
0.457167,0.369386,0.173447,1.2376403,35,1,0
0.359834,0.475758,0.164408,0.7563383064,35,1,0
